Chave,Contexto,Inglês (referência),Português (BR)
home.goodMorning,Saudação exibida antes do nome do usuário (antes das 12h),Good morning,Bom dia
home.goodAfternoon,Saudação exibida antes do nome do usuário (12h–18h),Good afternoon,Boa tarde
home.goodEvening,Saudação exibida antes do nome do usuário (após 18h),Good evening,Boa noite
home.roleChoiceSubtitle,Subtítulo na tela inicial para novos usuários,What brings you here?,O que te traz aqui?
home.iOwnProperty,Título do cartão de proprietário na escolha de papel,I own a property,Sou proprietário
home.iOwnPropertyDescription,Descrição do cartão de proprietário,"Set up your property, invite tenants, and manage billing.","Configure seu imóvel, convide inquilinos e gerencie cobranças."
home.iRentProperty,Título do cartão de inquilino na escolha de papel,I rent a property,Sou inquilino
home.iRentPropertyDescription,Descrição do cartão de inquilino,"View statements, track payments, and coordinate with roommates.","Veja extratos, acompanhe pagamentos e coordene com colegas de quarto."
home.comingSoon,Badge no cartão de inquilino indicando recurso futuro,Coming soon,Em breve
home.comingSoonDescription,Mensagem exibida ao clicar no cartão de inquilino,"Tenant onboarding is coming soon. For now, ask your landlord to invite you through mabenn.","O onboarding para inquilinos está chegando. Por enquanto, peça ao seu proprietário para convidá-lo pelo mabenn."
home.roleNote,Texto de reassurance abaixo dos cartões — indica que a escolha não é permanente,You can always add more properties in either role later.,Você pode adicionar mais imóveis em qualquer papel depois.
home.myProperties,Título da seção de propriedades na tela inicial,My properties,Meus imóveis
home.addProperty,Botão para adicionar nova propriedade,Add property,Adicionar imóvel
home.viewByProperty,Tooltip do botão de visualização agrupada,By property,Por imóvel
home.viewAllUnits,Tooltip do botão de visualização de todas as unidades,All units,Todas as unidades
home.units,Contagem de unidades no cartão — {count} é o número,"{count, plural, one {# unit} other {# units}}","{count, plural, one {# unidade} other {# unidades}}"
home.tenants,Contagem de inquilinos no cartão — {count} é o número,"{count, plural, one {# tenant} other {# tenants}}","{count, plural, one {# inquilino} other {# inquilinos}}"
home.noTenants,Texto quando não há inquilinos em uma propriedade,No tenants yet,Nenhum inquilino ainda
home.nudgeCharges,Badge de incentivo para configurar cobranças,Set up charges,Configurar cobranças
home.nudgeStatement,Badge de incentivo para publicar primeiro extrato,Publish your first statement,Publicar seu primeiro extrato
properties.createProperty,Botão para criar propriedade (tela de convite de inquilinos),Create property,Criar imóvel
properties.step,Indicador de passo no formulário — {current} e {total} são números,Step {current} of {total},Passo {current} de {total}
properties.whereIsProperty,Título do passo 1 do cadastro de propriedade,Where is your property?,Onde fica seu imóvel?
properties.whereIsPropertyDescription,Descrição do passo 1,We'll use this address to organize your billing.,Usaremos este endereço para organizar suas cobranças.
properties.propertyName,Rótulo do campo nome da propriedade,Property name,Nome do imóvel
properties.propertyNamePlaceholder,Texto de exemplo para nome da propriedade,e.g. Edifício Aurora,ex: Edifício Aurora
properties.propertyNameHint,Dica abaixo do campo de nome,A name to help you identify this property.,Um nome para identificar este imóvel.
properties.street,Rótulo do campo de rua,Street,Rua
properties.streetPlaceholder,Texto de exemplo para rua,e.g. Rua Augusta,ex: Rua Augusta
properties.number,Rótulo do campo de número,Number,Número
properties.numberPlaceholder,Texto de exemplo para número,e.g. 123,ex: 123
properties.complement,Rótulo do campo de complemento,"Apartment, suite, etc.",Complemento
properties.complementPlaceholder,Texto de exemplo para complemento,e.g. Bloco B,ex: Bloco B
properties.neighborhood,Rótulo do campo de bairro,Neighborhood,Bairro
properties.neighborhoodPlaceholder,Texto de exemplo para bairro,e.g. Consolação,ex: Consolação
properties.city,Rótulo do campo de cidade,City,Cidade
properties.cityPlaceholder,Texto de exemplo para cidade,e.g. São Paulo,ex: São Paulo
properties.state,Rótulo do campo de estado,State,Estado
properties.statePlaceholder,Texto de exemplo no dropdown de estado,e.g. SP,ex: SP
properties.postalCode,Rótulo do campo de CEP,CEP,CEP
properties.postalCodePlaceholder,Texto de exemplo para CEP,e.g. 01310-100,ex: 01310-100
properties.postalCodeLooking,Mensagem enquanto busca endereço pelo CEP,Looking up address...,Buscando endereço...
properties.postalCodeFound,Mensagem de sucesso quando o CEP é encontrado,Address found!,Endereço encontrado!
properties.postalCodeNotFound,Mensagem quando o CEP não é encontrado,CEP not found. Please fill in the address manually.,CEP não encontrado. Preencha o endereço manualmente.
properties.addressSection,Rótulo da seção de endereço no formulário,Address,Endereço
properties.addressHint,Dica abaixo do campo CEP para auto-preenchimento,Enter your CEP above to auto-fill these fields.,Insira seu CEP acima para preencher automaticamente.
properties.continue,Botão para avançar no formulário,Continue,Continuar
properties.back,Botão para voltar ao passo anterior,Back,Voltar
properties.nameYourUnits,Título do passo de unidades (pode não ser usado no fluxo atual),Name your units,Nomeie suas unidades
properties.unitsExplanation,Explicação do conceito de unidade,"A unit is an individual rental space within your property — like an apartment, room, or house.","Uma unidade é um espaço individual de aluguel dentro do seu imóvel — como um apartamento, quarto ou casa."
properties.or,Separador entre opções,or,ou
properties.singleUnit,Botão atalho para propriedade com apenas uma unidade,This property has just one unit,Este imóvel tem apenas uma unidade
properties.unitName,Rótulo do campo de nome da unidade,Unit name,Nome da unidade
properties.unitNamePlaceholder,Texto de exemplo para nome da unidade,e.g. Apt 201,ex: Apto 201
properties.addAnotherUnit,Botão para adicionar outra unidade,Add another unit,Adicionar outra unidade
properties.removeUnit,Botão para remover item da lista,Remove,Remover
properties.atLeastOneUnit,Erro quando nenhuma unidade foi adicionada,Add at least one unit to continue.,Adicione pelo menos uma unidade para continuar.
properties.inviteTenants,Título do passo 2 — convidar inquilinos,Invite tenants,Convidar inquilinos
properties.inviteDescription,Descrição do passo de convite — deve vender o valor do mabenn para o proprietário,"When tenants are on mabenn, they see exactly what they owe and why — no more back-and-forth about bills. You can always invite them later too.","Com o mabenn, seus inquilinos veem exatamente o que devem e por quê — sem mais discussões sobre contas. Você também pode convidá-los depois."
properties.tenantEmail,Rótulo do campo de e-mail do inquilino,Tenant's email,E-mail do inquilino
properties.tenantEmailPlaceholder,Texto de exemplo para e-mail do inquilino,tenant@example.com,inquilino@exemplo.com
properties.tenantName,Rótulo do campo de nome do inquilino (opcional),Name (optional),Nome (opcional)
properties.tenantNamePlaceholder,Texto de exemplo para nome do inquilino,Tenant's name,Nome do inquilino
properties.addTenant,Botão para adicionar inquilino à lista,Add tenant,Adicionar inquilino
properties.invalidEmail,Erro quando o e-mail digitado não é válido,Enter a valid email address.,Insira um endereço de e-mail válido.
properties.sendInvite,Botão para enviar convite,Send invite,Enviar convite
properties.inviteSent,Confirmação de que o convite foi enviado,Invite sent!,Convite enviado!
properties.skipForNow,Botão para pular o passo de convites,Skip for now,Pular por enquanto
properties.addAnotherTenant,Botão para convidar mais um inquilino,Invite another tenant,Convidar outro inquilino
properties.alreadyInvited,Erro quando o inquilino já foi convidado,This tenant has already been invited to this unit.,Este inquilino já foi convidado para esta unidade.
properties.setupComplete,Título da tela de sucesso após criar propriedade,Your property is ready!,Seu imóvel está pronto!
properties.setupCompleteMessage,Mensagem de sucesso com contagem de unidades — {name} e {unitCount} são substituídos,"{name} is set up with {unitCount, plural, one {# unit} other {# units}}. You can now set up charges or explore your new property.","{name} está configurado com {unitCount, plural, one {# unidade} other {# unidades}}. Agora você pode configurar cobranças ou explorar seu novo imóvel."
properties.setupCompleteSimple,Mensagem de sucesso simplificada — {name} é o nome da propriedade,{name} is ready. You can now set up charges or invite tenants.,{name} está pronto. Agora você pode configurar cobranças ou convidar inquilinos.
properties.setupCharges,Botão/link para configurar cobranças,Set up charges,Configurar cobranças
properties.goHome,Botão para voltar à tela inicial,Go to home,Ir para início
properties.required,Erro de validação — campo obrigatório,This field is required.,Este campo é obrigatório.
properties.tooLong,Erro de validação — valor muito longo,This value is too long.,Este valor é muito longo.
properties.invalidPostalCode,Erro de validação — CEP inválido,Enter a valid 8-digit CEP.,Insira um CEP válido de 8 dígitos.
properties.invalidCity,Erro de validação — cidade com números,City name can't contain numbers.,O nome da cidade não pode conter números.
properties.invalidState,Erro de validação — estado inválido,Select a valid state.,Selecione um estado válido.
properties.duplicateAddress,Aviso quando já existe propriedade no mesmo endereço (exibido como toast),You already have a property at this address.,Você já tem um imóvel neste endereço.
properties.viewExistingProperty,Botão no toast de duplicata para ver propriedade existente,View existing property,Ver imóvel existente
properties.createFailed,Erro genérico ao criar propriedade,Something went wrong. Please try again.,Algo deu errado. Tente novamente.
properties.missingProperty,Erro técnico — contexto de propriedade ausente,Property context is missing.,Contexto do imóvel ausente.
properties.missingContext,Erro técnico — contexto de propriedade ou unidade ausente,Missing property or unit context.,Contexto do imóvel ou unidade ausente.
properties.notAuthenticated,Erro quando o usuário não está autenticado,You must be signed in.,Você precisa estar conectado.
properties.inviteFailed,Erro ao enviar convite para inquilino,Failed to send invite. Please try again.,Falha ao enviar convite. Tente novamente.
theme.light,Opção de tema claro no seletor de tema,Light,Claro
theme.dark,Opção de tema escuro no seletor de tema,Dark,Escuro
theme.system,Opção de tema do sistema no seletor de tema,System,Sistema
